ID,TARGET
2,0.155891
5,0.141710
6,0.135793
7,0.006292
9,0.079930
11,0.121151
12,0.291073
15,0.137526
16,0.037650
17,0.178607
19,0.034494
21,0.067708
22,0.276348
24,0.090296
27,0.291073
28,0.059550
30,0.125927
33,0.030911
35,0.154562
37,0.026139
38,0.110770
40,0.030859
41,0.096280
44,0.291073
46,0.057706
47,0.035039
48,0.030927
50,0.030925
52,0.030846
53,0.002552
55,0.042785
57,0.118775
58,0.121929
59,0.043164
62,0.031085
63,0.030837
64,0.030924
65,0.031048
67,0.030835
69,0.017720
70,0.055346
71,0.001291
72,0.059285
73,0.229249
76,0.291073
78,0.291073
79,0.189656
81,0.004135
85,0.061575
86,0.030913
89,0.030909
94,0.216080
96,0.030920
97,0.004638
98,0.067414
99,0.009080
100,0.106531
103,0.007284
104,0.030989
108,0.000396
110,0.043058
112,0.158558
114,0.030807
116,0.291073
117,0.291073
119,0.088328
120,0.291073
121,0.004992
123,0.163062
124,0.030911
126,0.148791
128,0.012937
129,0.151899
133,0.038308
138,0.001222
147,0.114537
149,0.169578
158,0.030926
160,0.060088
164,0.014667
167,0.040341
168,0.291073
174,0.176125
181,0.080329
185,0.073343
187,0.102305
189,0.151026
190,0.038802
194,0.291073
197,0.031335
198,0.082544
201,0.042706
205,0.291073
208,0.047719
211,0.120920
216,0.027400
219,0.137147
223,0.101580
224,0.028564
226,0.083393
229,0.081334
230,0.028596
237,0.033628
238,0.030862
240,0.048845
243,0.071281
245,0.028011
246,0.079953
247,0.115730
248,0.030178
249,0.030911
250,0.095761
251,0.173467
255,0.074422
256,0.120036
257,0.245174
260,0.030872
261,0.025716
263,0.137044
264,0.030853
267,0.291073
268,0.115659
272,0.018243
274,0.001628
275,0.184541
277,0.143801
278,0.252725
280,0.291073
281,0.291073
282,0.031368
283,0.030928
284,0.015649
286,0.030861
290,0.013556
291,0.058334
293,0.091941
295,0.281185
297,0.031056
298,0.004353
300,0.291073
304,0.291073
305,0.291073
308,0.089251
309,0.028984
310,0.030953
312,0.030247
313,0.034046
315,0.012366
317,0.106660
318,0.129584
321,0.032517
323,0.189364
325,0.291073
326,0.050175
327,0.067019
328,0.192961
329,0.081615
330,0.094548
331,0.003570
334,0.072510
335,0.291073
336,0.133126
337,0.291073
338,0.035936
339,0.075195
341,0.027553
343,0.004885
346,0.103071
348,0.082301
350,0.087774
351,0.001133
352,0.030849
357,0.046531
358,0.030834
360,0.086772
361,0.031927
364,0.065508
365,0.051851
366,0.031104
367,0.031026
368,0.260175
370,0.021005
372,0.291073
376,0.100008
377,0.036856
379,0.003087
380,0.023578
381,0.015980
385,0.019629
386,0.154246
389,0.056894
391,0.150596
392,0.088213
393,0.000497
395,0.116209
396,0.000486
397,0.013990
398,0.110874
399,0.030990
400,0.063843
401,0.291073
403,0.291073
405,0.003272
406,0.003310
409,0.001830
411,0.022855
413,0.088955
418,0.291073
419,0.031932
422,0.030849
424,0.088850
425,0.041079
427,0.030920
430,0.031112
431,0.071554
434,0.129403
435,0.050779
437,0.000212
438,0.291073
439,0.019110
442,0.030837
446,0.132810
450,0.149882
451,0.000005
452,0.005599
454,0.069693
455,0.291073
463,0.001963
464,0.056776
465,0.170367
467,0.030866
468,0.069145
470,0.010825
472,0.030755
473,0.042190
475,0.291073
476,0.098573
479,0.096412
481,0.291073
483,0.083242
484,0.015341
486,0.001337
487,0.097122
491,0.033181
494,0.113864
